,name,latitude,longitude
0,Duluth,-92.1251218,46.7729322
1,Walker,-94.585026,47.101709
2,Discount Liquor,-94.8866165,47.490563900000005
3,Laporte,-94.7533561,47.214110000000005
4,Avoca,-95.64341800000001,43.949721000000004
5,Worthington,-95.5956434,43.6205056
6,Westbrook,-95.4345304,44.0405625
7,Plymouth Rd,-93.4462845,44.972788
8,Superior Blvd & Lake St,-93.50876620000001,44.968608
9,Wayzata Blvd & Broadway Ave,-93.5102294,44.9723593
10,Penn & West Broadway,-93.30820010000001,45.0038886
11,Lake Street/Midtown,-93.2390797,44.9487845
12,Merrimac Lane North,-93.50482690000001,45.020952
13,50th and France,-93.32903300000001,44.912529
14,Gate,-93.540192,44.891063
15,Duck Lake Rd,-93.49856600000001,44.874107
16,U.S. Bank Stadium,-93.2603217,44.974901800000005
17,Bemidji,-94.89078690000001,47.4785418
18,Gate 3,-93.22298110000001,44.8726373
19,Post Road Gate,-93.2095752,44.874257300000004
20,Manganese,-94.00970670000001,46.5274634
21,Funeral Cortege Entrance Gate 2,-93.22296080000001,44.8702623
22,Northdale,-93.28022840000001,45.1785763
23,Okabena,-95.31583210000001,43.739404
24,Saint Clair,-93.8577456,44.081874400000004
25,Childs,-96.5345145,46.065515000000005
26,Tansem,-96.2361736,46.6752364
27,Kettle Falls,-92.63959600000001,48.5026834
28,Kinney,-92.730737,47.514095000000005
29,Cushing,-94.5769564,46.139687900000006
30,New Prague,-93.57604450000001,44.543333100000005
31,Campbell,-96.40438710000001,46.097696000000006
32,Hanley Falls,-95.6219645,44.6927352
33,Saint Augusta,-94.19804470000001,45.4582982
34,Linwood,-93.1116118,45.3569096
35,Walnut Grove,-95.46944900000001,44.223012100000005
36,Wahkon,-93.5215714,46.118790600000004
37,Milan,-95.91337100000001,45.108571000000005
38,Kevin,-93.1938094,47.348547700000005
39,White Rock,-92.7671432,44.456355200000004
40,Arlington,-94.08052780000001,44.608296700000004
41,Green Valley,-95.75724340000001,44.526902500000006
42,Kettle River,-92.87733560000001,46.4884021
43,Austin,-92.97448960000001,43.668092800000004
44,Dennison,-93.0396206,44.407293300000006
45,Onamia,-93.66774550000001,46.0705151
46,Holland,-96.188642,44.091635000000004
47,Armour Number Two Mine,-93.9685949,46.484962900000006
48,Churchill,-94.6708249,44.8182952
49,Leonidas,-92.5718506,47.4615949
50,Brownsdale,-92.86935430000001,43.740240400000005
51,Weber,-93.1241119,45.4749637
52,Randolph,-93.0199336,44.526078000000005
53,French River,-91.8971278,46.8979921
54,Hagan,-95.7761457,45.1485702
55,Ponsford Landing,-95.45502230000001,47.3313469
56,O J Mathison Mobile Home Park,-95.2619136,47.532665300000005
57,Waldorf,-93.6974928,43.934922300000004
58,Wasioja,-92.8193598,44.0802418
59,Beaver Crossing,-91.5248766,47.2422083
60,Searles,-94.4346917,44.228573600000004
61,Winthrop,-94.3663674,44.5430195
62,Amor,-95.74532540000001,46.4124599
63,Grand View Heights,-95.52309550000001,46.6132932
64,Cerro Gordo,-96.0319827,45.0524605
65,Providence,-96.11309410000001,44.834406
66,Albion Center,-94.0735899,45.176909
67,Lake Hubert,-94.2574974,46.5021897
68,Proctor,-92.2254695,46.7471638
69,Rosemount,-93.12611000000001,44.739187300000005
70,Estes Brook,-93.7371913,45.6488564
71,Birchmont,-94.86055040000001,47.546341500000004
72,Lino Lakes,-93.0888324,45.1602442
73,Skyline Gardens Mobile Home Park,-93.23298910000001,44.1055185
